field_id,year,field_name,crop_name,sowing_date,harvesting_date,productivity,previous_crop_name,enrich_error,cropwise_error,weather_error,soil_error,coord_source,season_duration_days,local_ndvi_missing,local_ndvi_is_ndvi_like,local_ndvi_count,local_ndvi_mean,local_ndvi_std,local_ndvi_min,local_ndvi_max,local_ndvi_first,local_ndvi_last,local_ndvi_trend,local_ndvi_l8_missing,local_ndvi_l8_is_ndvi_like,local_ndvi_l8_count,local_ndvi_l8_mean,local_ndvi_l8_std,local_ndvi_l8_min,local_ndvi_l8_max,local_ndvi_l8_first,local_ndvi_l8_last,local_ndvi_l8_trend,local_ndvi_ps8_missing,local_ndvi_ps8_is_ndvi_like,local_ndvi_ps8_count,local_ndvi_ps8_mean,local_ndvi_ps8_std,local_ndvi_ps8_min,local_ndvi_ps8_max,local_ndvi_ps8_first,local_ndvi_ps8_last,local_ndvi_ps8_trend,local_ndvi_s2a_missing,local_ndvi_s2a_is_ndvi_like,local_ndvi_s2a_count,local_ndvi_s2a_mean,local_ndvi_s2a_std,local_ndvi_s2a_min,local_ndvi_s2a_max,local_ndvi_s2a_first,local_ndvi_s2a_last,local_ndvi_s2a_trend,local_ndvi_s2b_missing,local_ndvi_s2b_is_ndvi_like,local_ndvi_s2b_count,local_ndvi_s2b_mean,local_ndvi_s2b_std,local_ndvi_s2b_min,local_ndvi_s2b_max,local_ndvi_s2b_first,local_ndvi_s2b_last,local_ndvi_s2b_trend,local_ndvi_s2c_missing,local_ndvi_s2c_is_ndvi_like,local_ndvi_s2c_count,local_ndvi_s2c_mean,local_ndvi_s2c_std,local_ndvi_s2c_min,local_ndvi_s2c_max,local_ndvi_s2c_first,local_ndvi_s2c_last,local_ndvi_s2c_trend,local_soil_moisture_missing,local_soil_moisture_is_ndvi_like,local_soil_moisture_count,local_soil_moisture_mean,local_soil_moisture_std,local_soil_moisture_min,local_soil_moisture_max,local_soil_moisture_first,local_soil_moisture_last,local_soil_moisture_trend,local_temperature_missing,local_temperature_is_ndvi_like,local_temperature_count,local_temperature_mean,local_temperature_std,local_temperature_min,local_temperature_max,local_temperature_first,local_temperature_last,local_temperature_trend,centroid_lat,centroid_lon,field_area,season_weather_days,season_weather_tmean_mean,season_weather_tmean_min,season_weather_tmean_max,season_weather_tmean_std,season_weather_tmin_min,season_weather_tmax_max,season_weather_precip_sum,season_weather_precip_mean,season_weather_rain_sum,season_weather_radiation_sum,season_weather_radiation_mean,season_weather_et0_sum,season_weather_et0_mean,season_weather_gdd_base5_sum,season_weather_heat_days,season_weather_dry_days,season_weather_frost_days
1009,2021,"""Агрошанс"" с препаратом Луч",Пшеница яровая,2021-05-06,2021-08-20,35.964706,Подсолнечник,,,,,cropwise,106,False,True,49,0.47930612244897963,0.1802662661099117,0.191,0.729,0.191,0.365,0.008217755102040817,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,False,0,,,,,,,,False,False,62,33.016129032258064,6.766609041376231,17.5,47.45,32.55,27.65,-0.1718667371760973,50.110330926543405,82.8925770222564,8.42895,107,17.754205607476635,5.9,26.3,4.3988588234199755,-1.8,33.2,253.70000000000002,2.371028037383178,253.70000000000002,2398.28,22.413831775700938,469.66,4.389345794392524,1364.7,11,73,1
1009,2023,"""Агрошанс"" с препаратом Луч",Пшеница яровая,2023-05-08,2023-08-10,21.070588,Подсолнечник,,,,,cropwise,94,False,True,55,0.4612545454545455,0.13093804477785642,0.176,0.626,0.176,0.374,0.002635353535353536,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,False,0,,,,,,,,False,False,66,34.695454545454545,6.006749532393005,18.2,48.2,43.7,28.55,-0.11096753992276381,50.110330926543405,82.8925770222564,8.42895,95,18.44,6.3,30.0,4.777984600446643,1.0,36.4,157.8,1.6610526315789476,157.3,2313.25,24.35,470.68,4.954526315789474,1276.8,15,74,0
1010,2021,"""Агрошанс"" с препаратом Луч 2",Пшеница яровая,2021-05-08,2021-08-30,31.96,Подсолнечник,,,,,cropwise,114,False,True,57,0.44442105263157894,0.16875321412075373,0.194,0.702,0.194,0.299,0.003532278973295307,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,False,0,,,,,,,,False,False,71,32.57676056338028,6.175535735361463,20.7,48.4,30.4,32.95,-0.16198189134808855,50.14704594038202,82.83627884087439,10.22755,115,17.644347826086957,5.8,25.9,4.202777369567349,-1.8,33.2,268.0,2.3304347826086955,268.0,2578.59,22.422521739130435,497.98,4.330260869565217,1454.1,11,80,1
1010,2024,"""Агрошанс"" с препаратом Луч 2",Пшеница яровая,2024-05-17,2024-09-14,40.175714,Подсолнечник,,,,,cropwise,120,False,True,54,0.568925925925926,0.1990177594766498,0.271,0.801,0.281,0.295,-0.0034978463884124266,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,False,False,121,0.7529896694214877,0.0676328077991725,0.621,0.87925,0.76475,0.724,-0.0010911089283294946,False,False,78,27.289102564102567,3.9193769736114272,16.6,37.65,32.4,16.6,-0.018334197448121488,50.14704594038202,82.83627884087439,10.22755,121,18.026446280991735,7.0,25.8,4.50435544219077,1.4,32.6,409.5,3.384297520661157,409.5,2502.03,20.677933884297524,480.51,3.9711570247933885,1576.2,16,69,0
273,2025,1-я речка,Пшеница яровая,2025-05-13,2025-09-19,44.196296,Подсолнечник,,,,,cropwise,129,False,True,76,0.5357105263157894,0.20446681726598304,0.243,0.807,0.285,0.243,-0.002803581681476418,True,True,0,,,,,,,,True,True,0,,,,,,,,False,True,7,0.5731428571428572,0.20272601395650702,0.249,0.782,0.432,0.249,-0.054,False,True,11,0.612,0.1725129771139762,0.25,0.755,0.584,0.25,-0.03889090909090909,False,True,11,0.5137272727272727,0.2268708446788376,0.229,0.786,0.278,0.229,-0.037736363636363644,False,False,130,0.7910192307692308,0.05370687550334092,0.698,0.8887499999999999,0.8049999999999999,0.833,0.0005308020046702807,False,False,29,31.13275862068966,4.555770797837143,19.7,39.05,37.85,25.1,-0.27618226600985213,50.425490428814264,82.47341283092776,54.3351,130,17.133076923076924,5.4,26.7,4.115568723415971,0.8,33.2,433.9,3.3376923076923077,433.6,2757.16,21.208923076923075,513.14,3.947230769230769,1577.3,9,69,0
255,2021,2-я речка лев,Пшеница яровая,2021-05-17,2021-10-14,34.953571,Подсолнечник,,,,,cropwise,150,False,True,77,0.45348051948051926,0.20234999962387473,0.187,0.759,0.258,0.187,-0.0035088595614911405,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,False,False,151,0.6775562913907285,0.061423323305149054,0.544,0.83925,0.6617500000000001,0.76825,-0.00017642209829208774,False,False,84,29.146428571428572,6.861763386237351,12.1,45.65,30.7,13.9,-0.14661435658600788,50.434193200220975,82.48519249576253,111.80429,151,15.352980132450332,0.0,25.8,6.441296894907655,-4.8,33.2,327.9,2.1715231788079468,314.3,2903.25,19.22682119205298,567.92,3.761059602649006,1605.6,14,104,17
255,2024,2-я речка лев,Пшеница яровая,2024-05-15,2024-09-14,40.148214,Подсолнечник,,,,,cropwise,122,False,True,61,0.5838524590163936,0.192786710995795,0.26,0.809,0.28,0.286,-0.0009081438392384986,True,True,0,,,,,,,,False,True,42,0.5704285714285714,0.20009963504608957,0.282,0.809,0.283,0.282,-0.005293250141803744,False,True,6,0.5675,0.17987379835132558,0.283,0.791,0.791,0.283,-0.10277142857142858,False,True,5,0.7306,0.10547340897117151,0.52,0.793,0.774,0.52,-0.0499,True,True,0,,,,,,,,False,False,123,0.7592743902439024,0.057190599306340906,0.661,0.873,0.7375,0.76725,-0.00046485599308663644,False,False,78,26.254487179487178,4.458743828914924,14.1,33.7,33.7,16.6,-0.03804992475878552,50.434193200220975,82.48519249576253,111.80429,123,17.865040650406506,6.8,25.2,4.401477648035081,1.5,33.2,526.6,4.28130081300813,526.6,2521.05,20.496341463414634,478.75,3.8922764227642275,1582.4,10,69,0
256,2021,2-я речка прав 1,Пшеница яровая,2021-05-16,2021-09-09,34.889286,Подсолнечник,,,,,cropwise,116,False,True,68,0.5263529411764705,0.18668192236638317,0.26,0.762,0.26,0.3,-0.0014251250143146163,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,False,False,117,0.6821645299145298,0.0602252109020618,0.57825,0.8402499999999999,0.68025,0.617,-0.00020234455783842094,False,False,74,30.28851351351351,5.953669929396133,19.45,45.3,36.95,34.0,-0.072510181414291,50.42559570084607,82.48737699544742,55.75976,117,18.048717948717947,5.5,25.8,3.9351932887206917,-1.1,33.2,231.9,1.9820512820512821,231.9,2605.89,22.2725641025641,513.79,4.391367521367521,1526.7,14,85,1
256,2022,2-я речка прав 1,Пшеница яровая,2022-05-08,2022-08-20,0.178571,Пшеница яровая,,,,,cropwise,104,False,True,59,0.4890677966101696,0.18616503198085618,0.203,0.751,0.203,0.356,0.005024079485680889,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,True,True,0,,,,,,,,False,False,105,0.6714904761904761,0.03865716104130311,0.614,0.7805,0.6435,0.65875,-1.6537943188886447e-05,False,False,68,30.397058823529413,6.182963324096951,16.2,43.55,27.1,25.1,-0.15116998129556822,50.42559570084607,82.48737699544742,55.75976,105,18.431428571428572,6.3,27.2,4.027271657934528,0.6,32.9,265.3,2.526666666666667,265.3,2426.11,23.105809523809526,488.18,4.649333333333334,1410.3,11,70,0
256,2024,2-я речка прав 1,Пшеница яровая,2024-05-14,2024-09-14,59.772321,Пшеница озимая,,,,,cropwise,123,False,True,60,0.6124500000000002,0.19872455182991355,0.24,0.837,0.301,0.284,-0.0018504862461794945,True,True,0,,,,,,,,False,True,42,0.5919761904761904,0.2239074519799513,0.225,0.837,0.27,0.225,-0.00565651081759987,False,True,6,0.5995,0.19759870950995606,0.313,0.833,0.833,0.313,-0.11145714285714285,False,True,8,0.732,0.16311728908978348,0.386,0.84,0.386,0.529,0.01164285714285714,True,True,0,,,,,,,,False,False,124,0.7594314516129035,0.05701640378977463,0.66125,0.87325,0.755,0.76725,-0.00045020613690007865,False,False,75,26.285999999999998,4.188114611612247,15.1,35.55,33.7,15.1,-0.07983357041251779,50.42559570084607,82.48737699544742,55.75976,124,17.874193548387098,6.8,25.2,4.384868978947834,1.5,33.2,526.6,4.246774193548387,526.6,2547.71,20.546048387096775,484.99,3.9112096774193548,1596.4,10,70,0
